Content Name,File Name,Summary,Learning Outcomes,"##SUBSTITUTE(D2,CHAR(10),""."")UTE(D2,CHAR(10),""."")##"
Numeracy Entry Level 3 - Angles,Angles.zip,"Learn about angles, the different types of angle, how to measure angle and how to identify right angles in the real world. This course is ideal for intermediate learners. ","Know the different types of angle
Know how to measure angle
Be able to identify right angles in the real world",Know the different types of angle.Know how to measure angle.Be able to identify right angles in the real world
Public Services Level 2 -Anti-Discrimination,Anti-discrimination.zip,Learn about anti-discrimination and how it can affect recruitment and training. This course is ideal for intermediate learners. ,"What is anti-discrimination
How anti-discrimination affects recruitment
How anti-discrimination affects training
How to deal with grievances",What is anti-discrimination.How anti-discrimination affects recruitment.How anti-discrimination affects training.How to deal with grievances
English Level 2 - Apostrophes,Apostrophes.zip,"Learn about apostrophes, indicating omission and showing ownership. This course is ideal for intermediate learners. ","Apostrophes
Indicating omission
Showing ownership",Apostrophes.Indicating omission.Showing ownership
Maths Level 1 - Areas,Areas.zip,"Learn about areas, specifically calculating the area of a rectangle and triangle and working out areas in practical situations. This course is ideal for beginners. ","Calculate the area of a rectangle 
Calculate the area of a triangle
Work out areas in practical situations",Calculate the area of a rectangle .Calculate the area of a triangle.Work out areas in practical situations
Numeracy Entry Level 3 - Area,Area.zip,"Learn about area, the meaning, how to work out areas by counting and calculating and solve simple problems involving area. This course is ideal for intermediate learners. ","Understand the meaning of area
Be able to work out areas by counting and calculating
Be able to solve simple problems involving area","Understand the meaning of area.Be able to work out areas by counting and calculating.Be able to solve simple problems involving area"
Public Services Level 2 -Aspects of Citizenship,Aspects of Citizenship.zip,Learn more about what citizenship is and why it is important in society. This course is ideal for intermediate learners. ,"Why citizenship is important in society
The rights of citizens in society
Citizenship and equality",Why citizenship is important in society.The rights of citizens in society.Citizenship and equality
Literacy Entry Level 3 - Autobiographical writing ,Autobiographical Writing.zip,"Learn about autobiographical writing, what it is, examples of it, the main features and why autobiographical writing is important. This course is ideal for intermediate learners. ","Understand what autobiographical writing is
Know a number of examples of autobiographical writing
Understand the main features of autobiographical writing
Know why autobiographical writing is important","Understand what autobiographical writing is.Know a number of examples of autobiographical writing.Understand the main features of autobiographical writing.Know why autobiographical writing is important"
Numeracy Level 1 - Average calculations,Average calculations.zip,Learn about average calculations and understand what an average is. This course is ideal for beginners. ,"Understand what an average is
Distinguish between the different types of average: mean, median and mode
Calculate the mean, median, mode and range values in a data set
Work out word problems using averages","Understand what an average is.Distinguish between the different types of average: mean, median and mode.Calculate the mean, median, mode and range values in a data set.Work out word problems using averages"
Numeracy Entry Level 3 - Averages and Range,Averages and Range.zip,"Learn about averages and range, understanding the difference between the mean, median and mode and how to find the mean value and the range. This course is ideal for intermediate learners. ","Understand the difference between the mean, median and mode
Find the mean value
Find the range","Understand the difference between the mean, median and mode.Find the mean value.Find the range"
Maths Level 1 - Averages,Averages.zip,"Learn about averages, specifically understanding the difference between the mean, median and mode and finding the mean and the range value. This course is ideal for beginnners. ","Understand the difference between the mean, median and mode 
Find the mean value
Find the range","Understand the difference between the mean, median and mode .Find the mean value.Find the range"
Maths Level 1 - Bar Charts,Bar Charts.zip,"Learn about bar charts, specifically extracting and interpreting information from bar charts and histograms. This course is ideal for beginners. ",Extract and interpret information from bar charts and histograms,Extract and interpret information from bar charts and histograms
Accounting Basics,basic_accounting.zip,Learn the basics of accounting principles and financial statements in this practical course which is ideal for all industries and levels.,"Learn the basics of company accounts
Understand basic budgeting skills
Read and understand financial statements
Use MS Excel to put together a basic financial model",Learn the basics of company accounts.Understand basic budgeting skills.Read and understand financial statements.Use MS Excel to put together a basic financial model
English Level 2 - Brackets and Parentheses,Brackets and Parentheses.zip,Learn about brackets and parentheses and how and when they can be used. This course is ideal for intermediate learners. ,"Using parentheses to add extra information to a sentence
Using parentheses to indicate options
Using parentheses to list using letters
Using brackets to clarify a point in a quote
Using brackets to replace words in a quote",Using parentheses to add extra information to a sentence.Using parentheses to indicate options.Using parentheses to list using letters.Using brackets to clarify a point in a quote.Using brackets to replace words in a quote
"Spelling Punctuation and Grammar Level 2 - Brackets, ellipses, colons and semi-colons","Brackets, Ellipses, Colons and Semi-colons.zip","Learn about brackets, ellipses, colons and semi-colons. This course is ideal for intermediate learners.","Introduction to brackets, ellipses, colons and semi-colons
Uses of round and square brackets
Uses of ellipses
Uses of colons
uses of semi-colons
Re-cap on brackets, ellipses, colons and semi-colons","Introduction to brackets, ellipses, colons and semi-colons.Uses of round and square brackets.Uses of ellipses.Uses of colons.uses of semi-colons.Re-cap on brackets, ellipses, colons and semi-colons"
Numeracy Level 1 - Calculating volume of shapes,Calculating the volume of shapes.zip,learn about calculating volume of shape and what volume is. This course is ideal for beginners. ,"Explain what volume is 
Use units to measure volume
Distinguish between different 3 dimensional (3D) shapes
Calculate the volume of cubes, cuboids, pyramids, cylinders and spheres","Explain what volume is .Use units to measure volume.Distinguish between different 3 dimensional (3D) shapes.Calculate the volume of cubes, cuboids, pyramids, cylinders and spheres"
Numeracy Level 1 - Calories,Calories.zip,Learn about calories and understand what a calorie is. This course is ideal for beginners. ,"Understand what a calorie is
Work out your daily calorie needs and intake
Identify the calorie content of products based on the nutritional information on their packaging 
Make healthy decisions concerning your diet ",Understand what a calorie is.Work out your daily calorie needs and intake.Identify the calorie content of products based on the nutritional information on their packaging .Make healthy decisions concerning your diet 
Numeracy Entry Level 3 - Capacity & Weight,Capacity and weight.zip,Learn about capacity and weight and how to identify metric and imperial units of measurement for weight and capacity and the difference between standard and non-standard units of measurement for weight and capacity. This course is ideal for intermediate learners. ,"Be able to identify metric and imperial units of measurement for weight and capacity
Understand the difference between standard and non-standard units of measurement for weight and capacity
Be able to identify measuring instruments for weight and capacity 
Be able to choose appropriate units of measurement for weight and capacity ","Be able to identify metric and imperial units of measurement for weight and capacity.Understand the difference between standard and non-standard units of measurement for weight and capacity.Be able to identify measuring instruments for weight and capacity .Be able to choose appropriate units of measurement for weight and capacity "
English Level 2 - Capital Letters and Full Stops,Capital Letters and Full Stops.zip,Learn about capital letters and full stops and how and when to use them. This course is ideal for intermediate learners. ,"Capital letters at the beginning of a sentence
Capital letters for the personal pronoun 'I'
Capital letters for proper nouns
Full stops to mark the end of a sentence
Full stops to indicate an abbreviation
Full stops for ellipsis
Comma splices","Capital letters at the beginning of a sentence.Capital letters for the personal pronoun 'I'.Capital letters for proper nouns.Full stops to mark the end of a sentence.Full stops to indicate an abbreviation.Full stops for ellipsis.Comma splices"
"Spelling Punctuation and Grammar Level 2 - Capitals, Commas and Full Stops","Capitals, Commas and Full Stops.zip","Learn about capitals, commas and full stops. This course is ideal for intermediate learners.","Introduction to capitals, commas and full stops
Uses of capital letters
Uses of full stops
Uses of commas
Revision of capitals, commas and full stops","Introduction to capitals, commas and full stops.Uses of capital letters.Uses of full stops.Uses of commas.Revision of capitals, commas and full stops"
Public Services Level 3 - Care Quality Commission,Care Quality Commission.zip,"Learn about Care Quality Commission, what it is and what it does and how the Care Quality Commision holds public services accountable. This course is ideal for intermediate learners.","Know what the Care Quality Commission is and what it does
Understand how the Care Quality Commission holds public services accountable",Know what the Care Quality Commission is and what it does.Understand how the Care Quality Commission holds public services accountable
Public Services Level 3 - Central Government,Central Government.zip,"Learn about central government, the responsibilities of the different levels of government in the UK and the roles of and relationships between the House of Commons, House of Lords and The Monarch. This course is ideal for intermediate learners.","Outline the responsibilities of the different levels of government in the UK
Understand the roles of, and relationships between, the House of Commons, House of Lords and the Monarch","Outline the responsibilities of the different levels of government in the UK.Understand the roles of, and relationships between, the House of Commons, House of Lords and the Monarch"
Maths GCSE Resits - Circles and Pythagoras Triangles,Circles and Pythagoras Triangles.zip,"Maths GCSE revision covering circle parts, circumference, area and solving problems involving circles.","Name basic parts of a circle
Be able to calculate the circumference and area of a circle
Solve problems involving circles
Apply Pythagoras' Theorem to solve problems",Name basic parts of a circle.Be able to calculate the circumference and area of a circle.Solve problems involving circles.Apply Pythagoras' Theorem to solve problems
Public Services Level 3 - Civil disobedience,Civil disobedience.zip,Learn about civil disobedience and what it is. This course is ideal for intermediate learners.,"Define civil disobedience
Identify when civil disobedience has been used as a social response to a change in government policy
Discuss the impact of civil disobedience on a public service","Define civil disobedience.Identify when civil disobedience has been used as a social response to a change in government policy.Discuss the impact of civil disobedience on a public service"
Spelling Punctuation and Grammar Level 2 - Clauses and phrases,Clauses and Phrases.zip,Learn about clauses and phrases. This course is ideal for intermediate learners.,"The part of speech
Definition of phrases
Nouns, verbs, adverbial, participle and preopsitional
Definition of clauses
Working with examples o clauses
Independent and dependent clauses","The part of speech.Definition of phrases.Nouns, verbs, adverbial, participle and preopsitional.Definition of clauses.Working with examples o clauses.Independent and dependent clauses"
Public Services Level 3 - Clean Air Strategy - Case Study,Clean Air Strategy.zip,"Learn about clean air strategy, case study, the main proposals of the clean air strategy and the possible inpact on a range of public services. This course is ideal for intermediate learners.","State the main propsals of the Clean Air Strategy 
Identify the possible impact on a range of public services","State the main propsals of the Clean Air Strategy .Identify the possible impact on a range of public services"
"Public Services Level 2 -Codes of Practice, Values and Standards","Codes Of Practice, Values And Standards In Public Services.zip",Learn about stakeholders and codes of practice for public services. This course is ideal for intermediate learners. ,"What the codes of practice are
Stakeholders and what they do
Seven principles of public life
The importance of the principles",What the codes of practice are.Stakeholders and what they do.Seven principles of public life.The importance of the principles
Codes of Pratice,Codes Of Practice.zip,Learn about codes of pratice in health and care. This course is ideal for intermediate learners.,Codes of conduct and the guidelines they provide to support those in the health and social care sector,Codes of conduct and the guidelines they provide to support those in the health and social care sector
English Level 2 - Colons and Semi-Colons,Colons and Semi-colons.zip,Learn about colons and semi-colons and when they can be used. This course is ideal for intermediate learners. ,"Using colons to introduce items in a list
Using colons between a statement and an explanation of the statement
Using colons to introduce speech
Using semi-colons to join phrases that are thematically linked
Using semi-colons to punctuation long losts of items ","Using colons to introduce items in a list.Using colons between a statement and an explanation of the statement.Using colons to introduce speech.Using semi-colons to join phrases that are thematically linked.Using semi-colons to punctuation long losts of items "
English Level 2 - Commas,Commas.zip,Learn about commas and why and when they can be used. This course is ideal for intermediate learners. ,"Commas
Why you use commas
Using commas to seperate items in a list
Using commas to mark less important parts of a sentence
Checking for use of commas ",Commas.Why you use commas.Using commas to seperate items in a list.Using commas to mark less important parts of a sentence.Checking for use of commas 
Communication Terminology,Communication And Terminology.zip,Learn about communication technology in health and care. This course is ideal for intermediate learners.,Equality and diversity in communication and terminology,Equality and diversity in communication and terminology
Spelling Punctuation and Grammar Level 2 - Sentence types - conditional,Conditional Sentences.zip,"Learn about sentence types, specifically conditional sentences. This course is ideal for intermediate learners.","Conditional sentences
Three types of conditions of 'if-clauses'
Conditional tenses
The 'was/were' rule",Conditional sentences.Three types of conditions of 'if-clauses'.Conditional tenses.The 'was/were' rule
English Level 2 - Conjunctions,Conjunctions.zip,Learn about conjunctions and the different types. This course is ideal for intermediate learners.,"What a conjunction is
Coordinating conjunctions
Subordinating conjunctions
Conjunction positions ",What a conjunction is.Coordinating conjunctions.Subordinating conjunctions.Conjunction positions 
Maths Level 1 - Coordinates,Coordinates.zip,Learn about coordinates and how to extract and interpret information from graphs. This course is ideal for beginners. ,Extract and interpret information from graphs,Extract and interpret information from graphs
Coping with Stress,Coping with Stress.zip,"Learn ways of coping with stress, looking at the positive coping skills we can include in our daily lives. This course is suitable for everyone. ","Understand that different skills will be more effective at different times, depending on how full your stress bucket is
Know some positive coping skills to help you manage your stress
Use mindfullness as a tool to help you notice how full your bucket is
Develop your own resilience and coping skills to plan and help you manage your experiences","Understand that different skills will be more effective at different times, depending on how full your stress bucket is.Know some positive coping skills to help you manage your stress.Use mindfullness as a tool to help you notice how full your bucket is.Develop your own resilience and coping skills to plan and help you manage your experiences"
Creating Structure and Promoting Healthy Habits,Creating Structure and Promoting Healthy Habits.zip,Learn about creating structure in your life using routines and a range of healthy habits. This course is suitable for everyone. ,"Know how to plan your time effectively
Understand good sleeping habits
Recognise the importance of nutrition, exercise, health and wellbeing","Know how to plan your time effectively.Understand good sleeping habits.Recognise the importance of nutrition, exercise, health and wellbeing"
CV and Interview Tips,CV and Interview Tips.zip,"Learn about different types of CVs and how to make them work for you, as well as interview tips. This course is suitable for everyone.","Understanding different types of CVs
Know how to make a CV work for you
Know how to be interview ready",Understanding different types of CVs.Know how to make a CV work for you.Know how to be interview ready
Numeracy Entry Level 3 - Dates,Dates.zip,"Learn about dates, reading and recording dates in different formats, order dates and using a calendar. This course is ideal for intermediate learners. ","Read and record dates in different formats
Order dates
Use a calendar",Read and record dates in different formats.Order dates.Use a calendar
Maths Level 1 - Decimals,Decimals.zip,Learn about decimals and how to use them correctly. This course is ideal for beginners. ,"Order decimals up to two decimal places
Use decimals to complete money calculations
Round decimals up to two decimal places
Add and subtract decimals up to two decimal places",Order decimals up to two decimal places.Use decimals to complete money calculations.Round decimals up to two decimal places.Add and subtract decimals up to two decimal places
Numeracy Entry Level 3 - Decimals,Decimals.zip,Learn about decimals and understanding the use of decimal place values and digits. This course is ideal for intermediate learners. ,"Understand the use of decimal place values and digits
Understand how zero is used as a placeholder for decimal numbers
Be able to use decimals in different contexts
Be able to write decimals in word and digit form
Be able to compare the size of decimals","Understand the use of decimal place values and digits.Understand how zero is used as a placeholder for decimal numbers.Be able to use decimals in different contexts.Be able to write decimals in word and digit form.Be able to compare the size of decimals"
Public Services Level 3 - Declaration of War,Declaration of war.zip,"Learn about a decleration of war, defining this, the impact of a declaration of war and an example of a declaration of war. This course is ideal for intermediate learners.","Define a declaration of war
Explain the impact of a declaration of war
Discuss an example of a declaration of war",Define a declaration of war.Explain the impact of a declaration of war.Discuss an example of a declaration of war
English Level 2 - Delivering a Speech,Delivering a Speech.zip,Learn how to successfully deliver a speech. This course is ideal for intermediate learners. ,"Delivering your speech
Preparing to start your speech
Opening your speech
Throughout your speech
Closing your speech
Delivery style
Prompt cards",Delivering your speech.Preparing to start your speech.Opening your speech.Throughout your speech.Closing your speech.Delivery style.Prompt cards
Public Services Level 3 - Devolved Parliaments,Devolved Parliaments.zip,Learn about devolved Parliaments and how they operate. This course is ideal for intermediate learners.,"Understand how the devolved Parliaments/Assemblies of Scotland, Wales and Northern Ireland operate
Know the devolved powers that the Parliaments/Assemblies of Scotland, Wales and Northern Ireland have","Understand how the devolved Parliaments/Assemblies of Scotland, Wales and Northern Ireland operate.Know the devolved powers that the Parliaments/Assemblies of Scotland, Wales and Northern Ireland have"
Literacy Entry Level 3 - Different types of poetry,Different Types of Poetry.zip,"Learn about different types of poetry, how to spot a poem, what a narrative poem, pattern poem, shape or concrete poem and a nonsense poem are. This course is ideal for intermediate learners. ","Know how to spot a poem
Understand what a narrative poem is
Understand what a pattern poem is
Understand what a shape or concrete poem is
Understand what a nonsene poem is",Know how to spot a poem.Understand what a narrative poem is.Understand what a pattern poem is.Understand what a shape or concrete poem is.Understand what a nonsene poem is
Literacy Entry Level 3 - Different types of text - Part 2,Different Types of Text Part 2.zip,"Learn about different types of text (part 2), what a leaflet is, what it will contain, where you are likely to find them and what a manual is and what it will contain. This course is ideal for intermediate learners. ","Know what a leaflet is
Understand what a leaflet will contain
Know where you are likely to find leaflets
Know what a manual is
Understand what a manual will contain",Know what a leaflet is.Understand what a leaflet will contain.Know where you are likely to find leaflets.Know what a manual is.Understand what a manual will contain
Literacy Entry Level 3 - Different types of text,Different Types of Text.zip,"Learn about different types of text, what a non-fiction and fiction text is, what poems and plays are and the main characters of each types of text. This course is ideal for intermediate learners. ","Know what a non-fiction text is
Know what a fiction text is
know what poems and plays are
Undersand the main characters of each types of text",Know what a non-fiction text is.Know what a fiction text is.know what poems and plays are.Undersand the main characters of each types of text
Literacy Entry Level 3 - Direct and indirect speech,Direct and indirect speech.zip,"Learn about direct and indirect speech, what they are, how to punctuate direct speech and how to use both types of speech. This course is ideal for intermediate learners. ","Understand what direct speech is
Know how to punctuate direct speech
Understand what indirect speech is
Know when and how to use both types of speech
","Understand what direct speech is.Know how to punctuate direct speech.Understand what indirect speech is.Know when and how to use both types of speech."
Discrimination and Legislation,Discriminatory Practises In Health And Social Care.zip,"Learn about the different kinds of discrimination and legislation surrounding it, in health and care. This course is ideal for intermediate learners.","Discriminatory Practices in Health & Social Care
 Discriminatory Behaviour 
The Effects of Discriminatory Behaviour 
Key Legislation for people in care settings
 Key Legislation for disability discrimination 
Key Legislation for discrimination in sex, race and age 
Anti-Discrimination in Service Provision 
","Discriminatory Practices in Health & Social Care. Discriminatory Behaviour .The Effects of Discriminatory Behaviour .Key Legislation for people in care settings. Key Legislation for disability discrimination .Key Legislation for discrimination in sex, race and age .Anti-Discrimination in Service Provision ."
Public Services Level 2 -Discrimination,Discrimination.zip,"Learn about discrimination, protected characteristics and exceptions. This course is ideal for intermediate learners. ","What is discrimination?
Protected characteristics
Types of discrimination
Exceptions",What is discrimination?.Protected characteristics.Types of discrimination.Exceptions
Maths Level 1 - Division,Division.zip,"Learn about division, specifically dividing whole numbers using a range of strategies and dividing decimals of up to two decimal places by 10,100 and 1000. This course is ideal for beginners. ","Divide whole numbers using a range of strategies
Divide decimals of up to two decimal places by 10, 100 and 1000","Divide whole numbers using a range of strategies.Divide decimals of up to two decimal places by 10, 100 and 1000"
Numeracy Entry Level 3 - Division,Division.zip,Learn about division and understand that division is a method of repeated subtraction. This course is ideal for intermediate learners. ,"Understand that division is a method of repeated subtraction
Understand key vocabulary used in division
Be able to divide by 10, 100 and 1,000
Be able to solve division problems in everyday settings","Understand that division is a method of repeated subtraction.Understand key vocabulary used in division.Be able to divide by 10, 100 and 1,000.Be able to solve division problems in everyday settings"
Public Services Level 3 - Election Campaigns,Election Campaigns.zip,"Learn about election campaigns, what takes place before an election, general election announcement and forming a new Parliament. This course is ideal for intermediate learners.","What takes place before an election
General election announcement
Forming a new Parliament",What takes place before an election.General election announcement.Forming a new Parliament
Public Services Level 3 - Election Processes,Election Processes.zip,Learn about election processes and how it takes place. This course is ideal for intermediate learners.,"Know the different types of election that take place in the UK
Know the different types of voting system used in the UK
Understand how general and local elections work
Understand who can vote in the UK and the methods of voting they can use",Know the different types of election that take place in the UK.Know the different types of voting system used in the UK.Understand how general and local elections work.Understand who can vote in the UK and the methods of voting they can use
Energy Efficiency in Building Materials Part 2,Energy Efficiency in Building Materials Part 2.zip,Learn about the benefits of thermal insulation and how it works in roof spaces.,"•	Efficiency and effectiveness
•	Insulation materials
•	Roofs, attics / lofts
•	Flat roofs
","•	Efficiency and effectiveness.•	Insulation materials.•	Roofs, attics / lofts.•	Flat roofs."
Public Services Level 2 -Equal Opportunities,Equal opportunities.zip,Learn about equal opportunities and their impact. This course is ideal for intermediate learners. ,"The public sector equality duty
Equality duty functions
Benefits of equal opportunities 
Equal duty requirements
The impact of equal opportunities",The public sector equality duty.Equality duty functions.Benefits of equal opportunities .Equal duty requirements.The impact of equal opportunities
Equality and Diversity,Equality and Diversity.zip,Learn about equality and diversity in health and care. This course is ideal for intermediate learners.,"Introduction to Equality, Diversity and Rights in Health & Social Care 
Groups, Stereotyping and Labelling  
Promoting Equality & Diversity rights in a Health & Social care setting 
Protected Characteristics  
Equality - Rights in the Social Care setting 
","Introduction to Equality, Diversity and Rights in Health & Social Care .Groups, Stereotyping and Labelling  .Promoting Equality & Diversity rights in a Health & Social care setting .Protected Characteristics  .Equality - Rights in the Social Care setting ."
English Level 2 - Essay Structure,Essay Structure.zip,Learn about essay structure how to use it. This course is ideal for intermediate learners. ,"Essay structure 
Introductions
Main body
Paragraph structure
Conclusions",Essay structure .Introductions.Main body.Paragraph structure.Conclusions
Public Services Level 3 - European Parliament,European Parliament.zip,"Learn about European Parliament, understanding how it works and the election process to the European Parliament. This course is ideal for intermediate learners.","Understand how the European Parliament works
Know the election process to the European Parliament",Understand how the European Parliament works.Know the election process to the European Parliament
English Level 2 - Fact and Opinion,Fact and Opinion.zip,Learn about fact and opinion and how they are used. This course is ideal for intermediate learners. ,"Fact and opinion
Language used to express fact and opinion
Misleading facts
Bias
Blending fact and opinion",Fact and opinion.Language used to express fact and opinion.Misleading facts.Bias.Blending fact and opinion
Literacy Entry Level 3 - Fact and opinion,Fact and Opinion.zip,"Learn about fact and opinion, what they are, where they are likely to be found and why it is important that we can spot the difference between the two. This course is ideal for intermediate learners. ","Understand what a fact is
Know where facts are likely to be found
Understand what an opinion is
Know where opinions are likely to be found
Know why it is important that we can spot the difference between the two",Understand what a fact is.Know where facts are likely to be found.Understand what an opinion is.Know where opinions are likely to be found.Know why it is important that we can spot the difference between the two
"Spelling Punctuation and Grammar Level 2 - First, second and third person sentences","First, Second and Third Person.zip","Learn about first, seconds and third person sentences and what they are.. This course is ideal for intermediate learners.","Definition of the first, second and third person
Singular and plural pronouns
Pronouns used in the first and third person
Practical uses of the first, second and third person
Possessive pronouns and adjectives
Common mistakes with grammar","Definition of the first, second and third person.Singular and plural pronouns.Pronouns used in the first and third person.Practical uses of the first, second and third person.Possessive pronouns and adjectives.Common mistakes with grammar"
Public Services Level 3 - Formal Legislative Procedures,Formal legislative procedure.zip,"Learn about formal legislative procedures, identify the different types of bills and explain how a bill beocmes a law. This course is ideal for intermediate learners.","Identify the different types of bills
Explain how a bill becomes law","Identify the different types of bills.Explain how a bill becomes law"
Literacy Entry Level 3 - Formal letter writing,Formal Letter Writing.zip,"Learn about formal letter writing, what makes a formal letter, when formal letters are used, who they are usually sent to and how to write a letter of complaint. This course is ideal for intermediate learners. ","Know what makes a formal letter
Understand when formal letters are used
Know who formal letters are usually sent to
Know how to write a letter of complaint","Know what makes a formal letter.Understand when formal letters are used.Know who formal letters are usually sent to.Know how to write a letter of complaint"
Maths Level 1 - Formulae,Formulae.zip,"Learn about formulae, specifically using simple formulae expressed in words for one-step or two-step operations. This course is ideal for beginners. ",Use simple formulae expressed in words for one-step or two-step operations,Use simple formulae expressed in words for one-step or two-step operations
